tile,ra,dec,near_gal,nearest_gal_sep,nearest_gal_id,nearest_gal_dist
"(154, 299)",151.71268,59.5,True,246.6905946616949,UGC05408                      ,44.7467
"(154, 310)",182.19753,65.0,True,37.99056900558348,NGC4125                       ,23.8804
"(154, 311)",185.67941,65.5,True,96.50866821297817,NGC4332                       ,42.1077
"(154, 312)",189.31169,66.0,True,290.3554943714648,NGC4513                       ,38.9045
"(154, 316)",205.54897,68.0,True,59.10924736467647,NGC5283                       ,48.2797
"(154, 325)",256.06424,72.5,True,35.42623700452233,UGC10713                      ,34.8794
"(155, 298)",150.47432,59.0,True,167.41698801844802,UGC05408                      ,44.7467
"(155, 310)",183.38062,65.0,True,194.94696251606584,NGC4125                       ,23.8804
"(155, 311)",186.88513,65.5,True,138.34918992059377,NGC4391                       ,23.7913
"(155, 316)",206.8837,68.0,True,74.62238364016129,UGC08737                      ,38.954
"(155, 325)",257.727,72.5,True,28.64906868751161,NGC6340                       ,21.9786
"(156, 298)",151.44511,59.0,True,96.65845943323988,UGC05435                      ,43.735
"(156, 309)",181.18,64.5,True,201.98785512136436,NGC4125                       ,23.8804
"(156, 310)",184.56372,65.0,True,277.58881456676124,NGC4391                       ,23.7913
"(156, 311)",188.09084,65.5,True,292.68313421792584,NGC4391                       ,23.7913
"(156, 316)",208.21844,68.0,True,254.09516059672853,UGC08737                      ,38.954
"(156, 325)",259.38974,72.5,True,180.05770458853726,NGC6340                       ,21.9786
"(156, 327)",274.63306,73.5,True,179.26492683622402,NGC6654                       ,30.7038
"(157, 298)",152.41591,59.0,True,265.80869915516973,UGC05435                      ,43.735
"(157, 309)",182.34142,64.5,True,173.76264640262045,NGC4125                       ,23.8804
"(157, 310)",185.74683,65.0,True,97.89544044881625,NGC4391                       ,23.7913
"(157, 315)",205.13039,67.5,True,81.08522378623891,NGC5283                       ,48.2797
"(157, 327)",276.39352,73.5,True,35.3666460103039,NGC6654                       ,30.7038
"(158, 288)",134.40283,54.0,True,44.70387178741007,NGC2701                       ,35.032
"(158, 297)",151.1966,58.5,True,45.15856974745163,UGC05435                      ,43.735
"(158, 309)",183.50282,64.5,True,272.85678307051296,UGC07179                      ,39.6359
"(158, 310)",186.92993,65.0,True,100.04191788722756,NGC4391                       ,23.7913
"(158, 315)",206.43695,67.5,True,242.0180913880263,UGC08737                      ,38.954
"(158, 324)",255.64937,72.0,True,122.69153439621267,UGC10713                      ,34.8794
"(158, 325)",262.71524,72.5,True,278.3537420287424,NGC6434                       ,39.2185
"(158, 327)",278.154,73.5,True,290.29629318163177,NGC6654                       ,30.7038
"(159, 288)",135.25348,54.0,True,82.13136663072054,NGC2701                       ,35.032
"(159, 297)",152.15353,58.5,True,161.8765230364516,UGC05435                      ,43.735
