host,ID,ra,dec,morph,re,zspec,tile,x,y,bands,n_bands,cutout
NGC2778,MATLAS-489,138.6416,35.2037,dI  ,2.3,,"(227, 250)",3674.877341878223,8948.069414666845,ugri,4,1
NGC2852,MATLAS-500,140.5262,40.1194,dE  ,2.93,,"(215, 260)",2111.4928738878443,7317.01764101564,ugri,4,1
NGC2852,MATLAS-501,140.5447,40.3414,dEN ,9.49,,"(214, 261)",7505.249219759809,1928.8888975593327,ugri,4,1
NGC2859,MATLAS-502,140.577,34.5017,dE  ,0.0,,"(232, 249)",7845.026314338949,5035.449487544863,ugri,4,1
NGC2859,MATLAS-504,140.6702,34.6966,dE  ,5.4,,"(232, 249)",6353.410500140755,8810.4902990476,ugri,4,1
NGC2859,MATLAS-505,140.6976,34.8351,dE  ,4.97,,"(231, 250)",9801.580360458163,1811.6252286911397,ugri,4,1
NGC2859,MATLAS-506,140.734,34.7658,dE  ,0.0,,"(231, 250)",9226.152539880475,467.0041860258616,ugri,4,1
NGC2852,MATLAS-507,140.76,39.8204,dI  ,0.0,,"(216, 260)",8333.876160526239,1523.6998570068408,ugri,4,1
NGC2859,MATLAS-508,140.7893,34.1793,dE  ,3.07,,"(233, 248)",752.9689619903356,8480.175254670003,ugri,4,1
NGC2852,MATLAS-509,140.8308,40.2327,dE  ,3.57,,"(216, 260)",7266.339408513423,9511.466508555171,ugri,4,1
NGC2859,MATLAS-510,140.853,34.7881,dE  ,0.0,,"(231, 250)",7331.055526983459,895.2787765720714,ugri,4,1
NGC2859,MATLAS-513,141.0093,34.1657,dE  ,2.77,,"(234, 248)",6895.284764529988,8212.201129062229,ugri,4,1
NGC2852,MATLAS-516,141.0333,39.9257,dEN ,4.84,,"(216, 260)",4267.148284653312,3560.34459330774,ugri,4,1
NGC2859,MATLAS-517,141.0711,34.6907,dI  ,5.43,,"(233, 249)",9632.831491011131,8702.272175171443,ugri,4,1
NGC2852,MATLAS-518,141.0934,40.2972,dEN ,3.89,,"(215, 261)",9115.65865777308,1076.3978897791644,ugri,4,1
NGC2852,MATLAS-520,141.097,40.3811,dI  ,0.0,,"(215, 261)",9057.383170154108,2702.142860149794,ugri,4,1
NGC2859,MATLAS-521,141.1063,34.5474,dEN ,4.62,,"(233, 249)",9078.957330984977,5923.721526277268,ugri,4,1
NGC2852,MATLAS-522,141.125,40.0027,dE  ,4.56,,"(216, 260)",2906.726068892622,5053.979063247626,ugri,4,1
NGC2859,MATLAS-523,141.3129,34.278,dI  ,3.39,,"(233, 249)",5783.796622070212,698.037087386193,ugri,4,1
NGC2859,MATLAS-525,141.377,34.572,dI  ,0.0,,"(233, 249)",4758.201240071207,6395.3042650429,ugri,4,1
NGC2859,MATLAS-527,141.484,34.0937,dI  ,0.0,,"(235, 248)",8957.63458819106,6820.584776272892,ugri,4,1
NGC2859,MATLAS-528,141.509,34.0324,dI  ,0.0,,"(235, 248)",8558.996195265225,5631.730509179736,ugri,4,1
NGC2950,MATLAS-540,145.008,58.5354,dE  ,0.0,,"(152, 297)",9520.961977443032,5701.055986870795,griz,4,1
NGC2950,MATLAS-548,145.2689,58.4219,dE  ,3.9,,"(152, 297)",6887.984875562276,3489.1133596892587,griz,4,1
NGC2950,MATLAS-556,145.5148,59.0431,dEN ,5.16,,"(150, 298)",6051.686745369768,5836.063834014649,griz,4,1
NGC2950,MATLAS-565,145.846,58.5246,dI  ,0.0,,"(152, 297)",1043.1600999226862,5488.238900964369,griz,4,1
NGC2950,MATLAS-568,145.983,58.6887,dI  ,0.0,,"(153, 297)",9319.324446320104,8670.635398306322,griz,4,1
NGC2950,MATLAS-586,146.4623,58.9937,dE  ,4.05,,"(151, 298)",6285.815355902474,4879.151303053027,griz,4,1
NGC3032,MATLAS-594,147.7631,29.7794,dE  ,3.13,,"(256, 240)",5648.728455407722,725.0879277581898,ugri,4,1
UGC05408,MATLAS-615,150.34,59.4016,dI  ,0.0,,"(153, 299)",8822.609443074325,3104.2353159463964,griz,4,1
UGC05408,MATLAS-621,150.596,59.7429,dI  ,0.0,,"(153, 299)",6284.287539244914,9708.451733028058,griz,4,1
UGC05408,MATLAS-635,151.887,58.9995,dI  ,0.0,,"(156, 298)",589.5236560385438,5004.888873190965,griz,4,1
IC0598,MATLAS-639,152.97,43.4087,dIN ,0.0,,"(222, 267)",5766.286347350742,3230.949244468822,ugri,4,1
IC0598,MATLAS-640,152.981,43.2143,dI  ,0.0,,"(224, 266)",7255.171753488399,9155.08301756488,ugri,4,1
IC0598,MATLAS-643,153.178,42.9928,dI  ,0.0,,"(224, 266)",4470.944473888866,4860.588968136436,ugri,4,1
IC0598,MATLAS-653,153.765,43.0098,dI  ,0.0,,"(225, 266)",5840.87558390366,5190.2108657560175,ugri,4,1
NGC3182,MATLAS-664,154.571,58.7323,dE  ,0.0,,"(162, 297)",9559.999685829527,9517.17816625721,griz,4,1
NGC3182,MATLAS-676,154.9184,58.5073,dE  ,2.71,,"(162, 297)",6072.564335619358,5142.312042859553,griz,4,1
NGC3182,MATLAS-677,154.928,58.4535,dE  ,0.0,,"(162, 297)",5976.874832635374,4099.577968269384,griz,4,1
NGC3182,MATLAS-678,154.9449,58.6357,dE  ,5.72,,"(162, 297)",5801.353036632398,7630.20470536745,griz,4,1
NGC3648,MATLAS-943,170.015,40.0285,dI  ,0.0,,"(260, 260)",369.4524266018952,5560.410741247599,ugri,4,1
NGC3648,MATLAS-952,170.173,40.0169,dE  ,4.73,,"(261, 260)",7710.81725017914,5330.282870602673,ugri,4,1
NGC3648,MATLAS-960,170.3039,40.3566,dIN ,7.76,,"(259, 261)",4998.028346046383,2221.0508036260844,ugri,4,1
NGC3648,MATLAS-961,170.31,39.8609,dE  ,0.0,,"(261, 260)",5679.080272332316,2304.5542450912603,ugri,4,1
NGC3648,MATLAS-967,170.403,40.1562,dIN ,0.0,,"(261, 260)",4298.708806186038,8027.188495984175,ugri,4,1
